according to smith (2008), there is a need for substantial and consistent support and encouragement for women to participate in studies.;;
the ostracism alarm comes in the form of feeling social pain, resulting in negative affect and threats to basic needs.;;
this may explain why in both studies we witnessed a significant indirect effect of ostracism on intrinsic motivation, controlling for pretest interest, through positive mood, but not through relatedness.;;
discourage large samples pointing to the complexity in data analysis that could end up compromising meaningful exploration of the collected data and lead to the failure of addressing research questions fully or worse still the researcher can fail to appropriately contextualise the data to the research.;;
the present research tests the hypothesis that, because of this unwillingness to regulate the self, excluded (relative to included or control) participants are more likely to exhibit the confirmation bias (fischer, greitemeyer, & frey, 2008).;;
that is, although everyone would benefit from the access to a public good, the individual costs exceed the individual benefits in producing them.;;
we believe that the tendency to underestimate the severity of social pain has numerous implications beyond school bullying.;;
furthermore, with pairwise cooperation there is the possibility that the same partners would recognize each other and meet repeatedly after they have built up trust (may 1987).;;
in this study we examined whether ostracism by a particular type of outgroup, a despised outgroup, was sufficient to inflict emotional distress.;;
the drops in performance we did observe among ostracized participants could be stronger with less interesting tasks; a more interesting task might serve as a more appealing means to recover from the ostracism experience than a boring task would.;
because each instance of qualitative research is perceived as a unique process requiring the researcher to craft his or her own method, flexibility, versatility, and creativity have been emphasised, and methodological ambiguity tolerated as an inescapable, even desirable, component of the process.;;
if a young person in a school setting feels they do not have a clear understanding of the research project, the stigma attached to declaring this status might cause the student to hesitate to tell the researcher so (gallagher et al., 2010).;;
additionally, we took guidance from interpretive description as we sought to meet potential consumers of our research where they were figuratively and literally to broaden the research audience and uphold the motivation for conducting applied research.;;
when making attributions to prejudice, both the source of the prejudice (external) and the target's group membership (internal) are necessary but not suffi cient causes of the prejudice treatment (mcclure, 1998).;;
moreover, might socially included and excluded individuals simply differ in their interest in mating, as documented here, or do they also prefer different strategies toward mating based on the amount of resources they have available to invest in the first place?;;
this held true even though expectations of reciprocity and overall confidence in one's own ability to influence outcomes were low in the large group collective condition.;;
the apparent failure of the withdrawal function to impair communications can be explained in that the subjects simply did not use the no-play option as an instrument for withdrawal, thus preventing a meaningful analysis of any potential withdrawal function.;;
they exercise influence indirectly, through city council members whom they repay with opportunities to win voters' favor.;;
this research suggests that a public good contribution can be a self presentation strategy and that the benefits of these contributions to society are sometimes of secondary importance.;;
